,Project,Datapoints,Time Spent,Estimation,Error,Relative Error,Score,Range,In Range
0,CAMEL,25,41400,39729,-1671,-4%,★★★★★,[38200 — 46287],✔️
1,HUDI,8,34500,83051,48551,141%,☆☆☆☆☆,[37824 — 129551],❌
2,MXNET,22,366600,310287,-56313,-15%,★★★★★,[182171 — 621453],✔️
3,CRUC,12,40740,48147,7407,18%,★★★★★,[26218 — 138157],✔️
4,FE,19,49800,194342,144542,290%,☆☆☆☆☆,[85232 — 412659],❌
5,BE,8,331500,426002,94502,29%,★★★★☆,[238608 — 1007097],✔️
6,FAB,5,496800,145633,-351167,-71%,★★☆☆☆,[-404324 — 714211],✔️
7,DOCS,3,36,6,-30,-84%,★☆☆☆☆,[4 — 29],❌
8,EVG,195,387,362,-25,-7%,★★★★★,[320 — 458],✔️
9,QT,4,403200,600144,196944,49%,★★★☆☆,[115048 — 1089692],✔️
10,JBEAP,21,1306920,2089532,782612,60%,★★★☆☆,[1057600 — 4898303],✔️
11,RHODS,38,1051200,737658,-313542,-30%,★★★★☆,[589158 — 886117],❌
12,MULTIARCH,12,1238400,834348,-404052,-33%,★★★★☆,[162951 — 1501340],✔️
13,ODC,6,439200,306900,-132300,-30%,★★★★☆,[153663 — 639472],✔️
14,TEIID,36,518100,496206,-21894,-4%,★★★★★,[410744 — 598454],✔️
15,TEIIDSB,16,264600,174556,-90044,-34%,★★★★☆,[98425 — 251182],❌
