Project,Datapoints,Time Spent,Estimation,Error,Relative Error,Score,Range,In Range
CAMEL,25,41400,39729,-1671,-4%,★★★★★,[38200 — 46287],✔️
HUDI,8,34500,83051,48551,141%,☆☆☆☆☆,[37824 — 129551],❌
MXNET,22,366600,310287,-56313,-15%,★★★★★,[182171 — 621453],✔️
CRUC,12,40740,48147,7407,18%,★★★★★,[26218 — 138157],✔️
FE,19,49800,194342,144542,290%,☆☆☆☆☆,[85232 — 412659],❌
BE,8,331500,426002,94502,29%,★★★★☆,[238608 — 1007097],✔️
FAB,5,496800,145633,-351167,-71%,★★☆☆☆,[-404324 — 714211],✔️
DOCS,3,36,6,-30,-84%,★☆☆☆☆,[4 — 29],❌
EVG,195,387,362,-25,-7%,★★★★★,[320 — 458],✔️
QT,4,403200,600144,196944,49%,★★★☆☆,[115048 — 1089692],✔️
JBEAP,21,1306920,2089532,782612,60%,★★★☆☆,[1057600 — 4898303],✔️
RHODS,38,1051200,737658,-313542,-30%,★★★★☆,[589158 — 886117],❌
MULTIARCH,12,1238400,834348,-404052,-33%,★★★★☆,[162951 — 1501340],✔️
ODC,6,439200,306900,-132300,-30%,★★★★☆,[153663 — 639472],✔️
TEIID,36,518100,496206,-21894,-4%,★★★★★,[410744 — 598454],✔️
TEIIDSB,16,264600,174556,-90044,-34%,★★★★☆,[98425 — 251182],❌
